ms,lr,la,T*,T*_sim,P*_sim,rhov*,rhol*,Hvap*
1.0,12.0,6.0,0.96,0.9594498086206896,0.0210764889310344,0.0256,0.711887,5.5028478172413795
1.0,12.0,6.0,0.98,0.9799027848275862,0.0246110599655172,0.029869,0.701512,5.372586500000001
1.0,12.0,6.0,0.98,0.9797646948275862,0.0243141795517241,0.029443,0.700896,5.378200434482759
1.0,12.0,6.0,1.03,1.0293210034482758,0.0329725667931034,0.039644,0.671916,5.053795589655172
1.0,12.0,6.0,1.05,1.0502113068965515,0.0383236012068965,0.046578,0.659586,4.8818795379310345
1.0,12.0,6.0,1.05,1.0496537206896552,0.0381508599310344,0.046319,0.659548,4.8856190034482765
1.0,12.0,6.0,1.1,1.0991830137931036,0.0504360213793103,0.062181,0.625929,4.469187372413793
1.0,12.0,6.0,1.12,1.1203197,0.0569382743103448,0.071408,0.611086,4.2634430344827585
1.0,12.0,6.0,1.12,1.120278662068965,0.0569751398620689,0.071552,0.61086,4.261907689655172
1.0,12.0,6.0,1.17,1.1699239827586203,0.0729838546896551,0.095616,0.569542,3.707724089655173
1.0,12.0,6.0,1.19,1.1906997689655172,0.0811827725517241,0.110337,0.551697,3.4250093068965515
1.0,13.0,6.0,0.67,0.6705226686206898,0.0013735504931034,0.002092,0.844076,6.506755475862069
1.0,13.0,6.0,0.68,0.6805403282758621,0.0017058584551724,0.002571,0.839646,6.467809631034482
1.0,13.0,6.0,0.73,0.7304044024137931,0.0032130533931034,0.004577,0.816408,6.28204558275862
1.0,13.0,6.0,0.75,0.7503464365517241,0.0040567912586206,0.005666,0.807029,6.203131303448276
1.0,13.0,6.0,0.8,0.8002162527586206,0.0072242097206896,0.009703,0.781973,5.98581388275862
1.0,13.0,6.0,0.81,0.8095615034482759,0.0078163091862068,0.010417,0.777543,5.9386540344827585
1.0,13.0,6.0,0.86,0.8601754865517242,0.0123525436896551,0.015965,0.751244,5.692387337931034
1.0,13.0,6.0,0.88,0.8801830079310345,0.014976629,0.019244,0.740119,5.580644713793104
1.0,13.0,6.0,0.93,0.9298228741379312,0.0213921420689655,0.026951,0.71193,5.295666062068965
1.0,13.0,6.0,0.94,0.9400983934482758,0.0233407004482758,0.029441,0.706407,5.225974658620689
1.0,13.0,6.0,0.99,0.989606907586207,0.0328364265172413,0.041408,0.67439,4.877685196551724
1.0,13.0,6.0,1.01,1.010844699310345,0.0375569912413793,0.047571,0.661412,4.715955510344828
1.0,13.0,6.0,1.06,1.060239296551724,0.0506718449310344,0.065621,0.62535,4.269197482758621
1.0,13.0,6.0,1.07,1.069512548275862,0.0536925110344827,0.070218,0.617354,4.163017882758621
1.0,13.0,6.0,1.12,1.120258127586207,0.0702666814827586,0.096234,0.574524,3.59661191724138
1.0,13.0,6.0,1.14,1.1404020068965517,0.0786178648275862,0.112493,0.552208,3.2775957241379308
1.0,14.0,6.0,0.66,0.6601571434482758,0.0015941392034482,0.002473,0.844594,6.331539831034482
1.0,14.0,6.0,0.68,0.6799859965517241,0.0021549370827586,0.003266,0.834946,6.255185831034483
1.0,14.0,6.0,0.72,0.7197419882758622,0.0036657069965517,0.005323,0.815362,6.093065220689654
1.0,14.0,6.0,0.74,0.7400774013793103,0.0047506579689655,0.006777,0.805612,6.003166331034482
1.0,14.0,6.0,0.78,0.7803464306896551,0.0075016436862068,0.010372,0.784149,5.820400468965517
1.0,14.0,6.0,0.8,0.800045886551724,0.0089511058103448,0.012191,0.77368,5.725798272413793
1.0,14.0,6.0,0.84,0.840016245862069,0.012987702,0.017306,0.75173,5.510750003448276
1.0,14.0,6.0,0.86,0.8600979813793104,0.0154819347586206,0.020466,0.739675,5.39852171724138
1.0,14.0,6.0,0.9,0.9001557913793103,0.0212896441034482,0.027816,0.715264,5.154109403448276
1.0,14.0,6.0,0.92,0.920405851724138,0.0250005693793103,0.032658,0.702857,5.013656017241379
1.0,14.0,6.0,0.96,0.9598217706896552,0.0329144796206896,0.043065,0.676117,4.716877706896552
1.0,14.0,6.0,0.98,0.9798449206896552,0.0383032250689655,0.050768,0.66228,4.534397644827586
1.0,14.0,6.0,1.02,1.0196333862068965,0.0480968141724137,0.064327,0.630579,4.18701754137931
1.0,14.0,6.0,1.04,1.0398495862068966,0.0547846801034482,0.07491,0.613181,3.9580034379310343
1.0,14.0,6.0,1.08,1.079437655172414,0.0690132794137931,0.099326,0.57515,3.456911996551724
1.0,14.0,6.0,1.1,1.0998559482758623,0.0765395503793103,0.113282,0.552448,3.176004841379311
1.0,14.0,6.0,1.14,1.141242427586207,0.0951620746551724,0.159806,0.496195,2.3661170586206897
1.0,15.0,6.0,0.66,0.6594171093103448,0.0021260590931034,0.003325,0.841366,6.1471645172413805
1.0,15.0,6.0,0.68,0.680019448275862,0.0027433699103448,0.004185,0.831025,6.064625810344827
1.0,15.0,6.0,0.71,0.709803196551724,0.0041303056206896,0.006116,0.815207,5.937320503448276
1.0,15.0,6.0,0.73,0.7302217379310345,0.0054437610793103,0.00793,0.804586,5.843279220689656
1.0,15.0,6.0,0.77,0.7696807262068965,0.0081142673103448,0.011436,0.78245,5.65277672413793
1.0,15.0,6.0,0.79,0.7907283779310346,0.0097678654034482,0.013546,0.771338,5.554158020689655
1.0,15.0,6.0,0.82,0.8198122717241378,0.0131523061034482,0.018005,0.753574,5.379731793103449
1.0,15.0,6.0,0.84,0.840522764137931,0.0159490857241379,0.021699,0.741667,5.26020985862069
1.0,15.0,6.0,0.88,0.8794396968965518,0.0217368919655172,0.029233,0.715899,5.003367248275862
1.0,15.0,6.0,0.9,0.8996285551724138,0.0257154135172413,0.034655,0.702624,4.856385737931035
1.0,15.0,6.0,0.94,0.940586276551724,0.0343622806206896,0.046494,0.673057,4.543045658620689
1.0,15.0,6.0,0.95,0.9494915589655172,0.0368983544827586,0.050241,0.666344,4.445178662068966
1.0,15.0,6.0,1.01,1.0094396951724138,0.0542066273793103,0.076779,0.615595,3.844697010344828
1.0,15.0,6.0,1.05,1.0491322517241382,0.0689647333103448,0.103671,0.572467,3.302676424137931
1.0,15.0,6.0,1.06,1.0601848827586209,0.0730213131724138,0.111508,0.562442,3.160657251724138
1.0,15.0,6.0,1.11,1.1105210862068964,0.0967441832068965,0.179383,0.478314,2.0225781803448273
1.0,15.0,6.0,1.12,1.118276448275862,0.101297617275862,0.205027,0.464018,1.6978547931034482
1.0,16.0,6.0,0.65,0.6497318734482759,0.002243155,0.003565,0.843993,6.031704706896552
1.0,16.0,6.0,0.67,0.6706093572413793,0.0031040194206896,0.004824,0.833059,5.945008144827586
1.0,16.0,6.0,0.7,0.7000589106896552,0.0044360972586206,0.006683,0.816532,5.8124313206896545
1.0,16.0,6.0,0.72,0.7201612089655173,0.0058213136827586,0.008634,0.805182,5.714005724137932
1.0,16.0,6.0,0.76,0.7601907517241379,0.0088734477827586,0.01275,0.782197,5.5108179034482765
1.0,16.0,6.0,0.77,0.7697688665517242,0.0096563158413793,0.013775,0.776095,5.456179868965519
1.0,16.0,6.0,0.81,0.8100860310344828,0.0139535267241379,0.019453,0.751427,5.2346127448275865
1.0,16.0,6.0,0.83,0.8298568,0.0172143043448275,0.023965,0.738401,5.097209544827586
1.0,16.0,6.0,0.86,0.8595870631034482,0.0217099666896551,0.029947,0.716928,4.896789527586206
1.0,16.0,6.0,0.88,0.8800492248275861,0.0264602848620689,0.036817,0.704487,4.729239313793103
1.0,16.0,6.0,0.91,0.9095800820689656,0.0323684754482758,0.044986,0.681229,4.499967437931034
1.0,16.0,6.0,0.93,0.929455941724138,0.0378920471034482,0.05342,0.665315,4.302458231034482
1.0,16.0,6.0,0.97,0.9699162744827586,0.0492343309655172,0.071024,0.631592,3.9066553413793104
1.0,16.0,6.0,0.98,0.9796258958620688,0.0533426937241379,0.078639,0.620825,3.7628277
1.0,16.0,6.0,1.03,1.030134175862069,0.0714305184827586,0.112485,0.566989,3.102612175862069
1.0,16.0,6.0,1.07,1.0690506310344827,0.0894199835862068,0.160008,0.502437,2.2800296220689655
1.0,16.0,6.0,1.08,1.078292975862069,0.0939202939655172,0.174507,0.474756,1.9940422489655172
1.0,17.0,6.0,0.65,0.650242014137931,0.0026395857068965,0.00421,0.84134,5.894875689655173
1.0,17.0,6.0,0.67,0.6698007062068966,0.0035768060689655,0.005592,0.830097,5.801285627586206
1.0,17.0,6.0,0.7,0.6998290972413793,0.0051622240689655,0.007831,0.81246,5.662874941379311
1.0,17.0,6.0,0.72,0.7197709231034483,0.0066190014724137,0.009884,0.800722,5.559093724137931
1.0,17.0,6.0,0.75,0.7500333820689654,0.0090938742655172,0.013266,0.78231,5.402267165517241
1.0,17.0,6.0,0.76,0.759879206551724,0.0104929912068965,0.015289,0.775999,5.334773475862068
1.0,17.0,6.0,0.8,0.7995316765517241,0.015435232,0.022106,0.750297,5.0865269310344825
1.0,17.0,6.0,0.81,0.8096571882758621,0.0166837815862068,0.023761,0.743786,5.024311968965518
1.0,17.0,6.0,0.85,0.8495227993103448,0.0241994891034482,0.03454,0.715094,4.722499986206896
1.0,17.0,6.0,0.86,0.860109074137931,0.025454715,0.036031,0.707147,4.663470010344827
1.0,17.0,6.0,0.9,0.8994982503448276,0.0347458495517241,0.049743,0.676122,4.319195120689655
1.0,17.0,6.0,0.91,0.90977172,0.0375481948275862,0.054082,0.667452,4.220000672413793
1.0,17.0,6.0,0.94,0.9392301855172414,0.0460860515172413,0.067681,0.640271,3.911398003448276
1.0,17.0,6.0,0.96,0.9595093296551724,0.0529171634827586,0.079563,0.621152,3.6730123793103457
1.0,17.0,6.0,0.99,0.989024708275862,0.0642170762413793,0.101362,0.587304,3.2584705172413786
1.0,17.0,6.0,1.01,1.009345033448276,0.0724130383793103,0.119137,0.559905,2.931883972413793
1.0,17.0,6.0,1.05,1.0489948551724138,0.0917387388275862,0.178908,0.488783,1.9847164155172416
1.0,18.0,6.0,0.65,0.6499073448275863,0.0032825645034482,0.005277,0.839184,5.766464820689655
1.0,18.0,6.0,0.67,0.6705823565517242,0.0041465792517241,0.006513,0.827243,5.675124075862069
1.0,18.0,6.0,0.69,0.6902031427586206,0.0055492781482758,0.008576,0.815122,5.572505868965518
1.0,18.0,6.0,0.71,0.7099455634482759,0.0067967595551724,0.010306,0.802817,5.469359279310344
1.0,18.0,6.0,0.74,0.7400202668965518,0.0096687489793103,0.014386,0.78356,5.297518203448277
1.0,18.0,6.0,0.76,0.7598790824137931,0.0120403308620689,0.017757,0.770335,5.172623865517242
1.0,18.0,6.0,0.79,0.7904356544827587,0.0160454408965517,0.023376,0.750505,4.978674417241379
1.0,18.0,6.0,0.8,0.8003982786206896,0.0173497199310344,0.025142,0.742847,4.9197888482758625
1.0,18.0,6.0,0.83,0.8299574603448276,0.0227070652068965,0.032844,0.720018,4.691178889655173
1.0,18.0,6.0,0.85,0.8501831286206897,0.0271293473793103,0.039405,0.705117,4.527409434482759
1.0,18.0,6.0,0.88,0.8800353482758619,0.0339056953793103,0.049464,0.680089,4.268127686206896
1.0,18.0,6.0,0.89,0.8901284713793103,0.0370743962068965,0.054675,0.670755,4.159396175862069
1.0,18.0,6.0,0.92,0.919557293448276,0.0456902758965517,0.068789,0.642842,3.8416119655172416
1.0,18.0,6.0,0.94,0.9393045510344828,0.0524801338275862,0.080818,0.621412,3.6015918896551726
1.0,18.0,6.0,0.98,0.9796000086206896,0.068145045,0.112774,0.574469,3.014852662068966
1.0,18.0,6.0,1.02,1.0192562303448276,0.0862832308965517,0.161689,0.50009,2.1687856844827587
1.0,18.0,6.0,1.03,1.0290217827586206,0.0916842157586207,0.182464,0.476146,1.8557368989655176
1.0,19.0,6.0,0.64,0.6404695341379311,0.0031098712655172,0.005065,0.842884,5.706928524137931
1.0,19.0,6.0,0.66,0.6600564262068965,0.0041757808827586,0.006666,0.831022,5.608079013793104
1.0,19.0,6.0,0.69,0.6902017048275861,0.0061773005,0.009596,0.812056,5.44759272413793
1.0,19.0,6.0,0.71,0.7093942217241379,0.0078556692275862,0.012033,0.798706,5.336504889655172
1.0,19.0,6.0,0.73,0.7296527634482759,0.0099065130896551,0.01499,0.785224,5.220802734482758
1.0,19.0,6.0,0.75,0.7499886668965515,0.0124279118965517,0.018649,0.772431,5.087064141379311
1.0,19.0,6.0,0.78,0.7797696496551724,0.0168141523103448,0.02501,0.750836,4.88108745862069
1.0,19.0,6.0,0.79,0.7906102006896552,0.0181168359310344,0.026755,0.742976,4.820911093103449
1.0,19.0,6.0,0.82,0.8204650568965517,0.0239626859310344,0.035453,0.720076,4.5837575310344825
1.0,19.0,6.0,0.83,0.8303535386206897,0.0256565729655172,0.037869,0.71229,4.507575893103448
1.0,19.0,6.0,0.86,0.8593941417241381,0.0330636096896551,0.049431,0.686894,4.230867151724138
1.0,19.0,6.0,0.88,0.8797480886206896,0.0383531016896551,0.057875,0.66854,4.035807079310345
1.0,19.0,6.0,0.91,0.909946295862069,0.0476734348275862,0.073733,0.638214,3.700529882758621
1.0,19.0,6.0,0.92,0.9199772072413794,0.0509683077586206,0.079613,0.627828,3.5834012448275865
1.0,19.0,6.0,0.95,0.9496234658620692,0.0633827868275862,0.105732,0.589718,3.1164154275862064
1.0,19.0,6.0,0.96,0.9584321613793104,0.0672362016551724,0.114684,0.578742,2.962642675862069
1.0,20.0,6.0,0.64,0.6402845631034483,0.0035791973655172,0.005861,0.841651,5.599329637931035
1.0,20.0,6.0,0.66,0.6603343768965517,0.0047900461137931,0.00769,0.828376,5.498945472413793
1.0,20.0,6.0,0.68,0.6806910224137931,0.0061957984724137,0.009766,0.815773,5.388306
1.0,20.0,6.0,0.7,0.7005730006896552,0.0078361476586206,0.01216,0.802228,5.277896717241379
1.0,20.0,6.0,0.73,0.7302348351724138,0.0109331278275862,0.016663,0.781365,5.093514179310345
1.0,20.0,6.0,0.74,0.7405992079310344,0.0127424564482758,0.019428,0.774655,5.017165041379311
1.0,20.0,6.0,0.77,0.7703162455172414,0.0167212416896551,0.025145,0.752048,4.817490375862069
1.0,20.0,6.0,0.78,0.7795970441379312,0.0186387194137931,0.028097,0.743904,4.7356497
1.0,20.0,6.0,0.81,0.8098181527586207,0.0243301798965517,0.036616,0.720235,4.499614172413793
1.0,20.0,6.0,0.82,0.819893455862069,0.0265646270689655,0.040069,0.711051,4.412106072413793
1.0,20.0,6.0,0.85,0.8490930975862069,0.0341374083103448,0.05225,0.684135,4.124992310344828
1.0,20.0,6.0,0.86,0.8605469693103448,0.0368248467931034,0.056417,0.675164,4.0319043586206895
1.0,20.0,6.0,0.9,0.9002126679310344,0.0495933235172413,0.07898,0.632741,3.5660370896551727
1.0,20.0,6.0,0.93,0.9293710244827588,0.0613918399655172,0.103896,0.596298,3.116365831034483
1.0,20.0,6.0,0.95,0.9501694375862068,0.0697413999655172,0.122639,0.566586,2.788266693103448
1.0,20.0,6.0,0.98,0.9798696313793104,0.084534702275862,0.168517,0.512683,2.097251995172414
1.0,20.0,6.0,0.99,0.9898508903448278,0.0885886623448275,0.177641,0.478136,1.8561981231034483
1.0,21.0,6.0,0.64,0.6397303979310345,0.0042292881896551,0.006979,0.839211,5.503239379310346
1.0,21.0,6.0,0.66,0.6600368755172413,0.0054722284793103,0.008856,0.826332,5.393547203448277
1.0,21.0,6.0,0.68,0.6807967693103448,0.0071038366689655,0.011297,0.812305,5.281734075862069
1.0,21.0,6.0,0.7,0.7003834320689656,0.0088648952344827,0.013886,0.798501,5.163239468965518
1.0,21.0,6.0,0.72,0.7196091968965518,0.0111325338275862,0.017268,0.784621,5.032363755172414
1.0,21.0,6.0,0.74,0.7400267268965518,0.0138027994827586,0.021211,0.769584,4.900049537931035
1.0,21.0,6.0,0.76,0.7603101662068965,0.0168587213103448,0.025748,0.753934,4.760168506896551
1.0,21.0,6.0,0.77,0.7698873944827587,0.0187329429655172,0.028643,0.745832,4.675240724137931
1.0,21.0,6.0,0.8,0.7992763296551725,0.0248049308275862,0.038057,0.720852,4.423197227586207
1.0,21.0,6.0,0.81,0.809448272413793,0.027240077137931,0.041965,0.711765,4.331206351724138
1.0,21.0,6.0,0.84,0.8396946289655174,0.0346755914827586,0.053963,0.683785,4.049333831034483
1.0,21.0,6.0,0.85,0.8491566031034483,0.037771323,0.059401,0.675079,3.936911096551724
1.0,21.0,6.0,0.88,0.8797525486206895,0.0473646170344827,0.076623,0.641102,3.582799817241379
1.0,21.0,6.0,0.89,0.8900342889655173,0.0503967660344827,0.081913,0.630094,3.4668275586206887
1.0,21.0,6.0,0.92,0.9205042068965515,0.0635122394482758,0.111268,0.591128,2.979147955172414
1.0,21.0,6.0,0.93,0.9301170331034482,0.0681794805517241,0.123619,0.573468,2.7752808241379308
1.0,21.0,6.0,0.96,0.9599590951724136,0.0809788507931034,0.15756,0.516632,2.1896593448275863
1.0,21.0,6.0,0.97,0.9692086348275862,0.0863861717931034,0.17902,0.493447,1.8866922896551728
1.0,22.0,6.0,0.62,0.6198547748275861,0.0034359597517241,0.005809,0.850647,5.5213192241379305
1.0,22.0,6.0,0.64,0.6406307427586206,0.0046341429137931,0.007668,0.837679,5.413945327586207
1.0,22.0,6.0,0.66,0.6601672148275862,0.0059403479896551,0.009647,0.823062,5.306636079310346
1.0,22.0,6.0,0.68,0.6802027255172414,0.0078856216620689,0.01264,0.809449,5.1842889103448275
1.0,22.0,6.0,0.69,0.6896414958620689,0.0086791538862068,0.013803,0.802567,5.122807134482759
1.0,22.0,6.0,0.71,0.7096837527586207,0.0110637206896551,0.01741,0.787371,4.991465396551725
1.0,22.0,6.0,0.73,0.7300581217241381,0.013511665137931,0.021016,0.772486,4.860191455172414
1.0,22.0,6.0,0.75,0.7502224606896553,0.0170002043793103,0.026392,0.75657,4.7043720379310345
1.0,22.0,6.0,0.77,0.7700791486206896,0.0204558240689655,0.031649,0.739887,4.54904342413793
1.0,22.0,6.0,0.79,0.7894553234482758,0.0247453630689655,0.038467,0.723015,4.3755762
1.0,22.0,6.0,0.8,0.8003517968965518,0.027023049137931,0.042016,0.713712,4.287882555172414
1.0,22.0,6.0,0.83,0.8294578968965517,0.0348557581724137,0.055089,0.685141,3.986398951724138
