lr,la,rho*,T*,T_ad,P_ad,TotEn_ad,Cv_nvt,ThermalPressureCoeff_nvt,Cp_npt,ThermalExpansionCoeff_npt,IsothermalCompressibility_npt,Cv_npt,JouleThomson_npt,Brown_type,is_fluid,is_solid
20.0,6.0,0.244327342,1.947113228,1.947113228,0.475199879,1.7097324420000002,,,,,,,,Zeno,True,False
20.0,6.0,0.193228214,2.043677866,2.043677866,0.394704838,2.118632303,,,,,,,,Zeno,True,False
20.0,6.0,0.145874975,2.128188719,2.128188719,0.310125945,2.4824802655,,,,,,,,Zeno,True,False
20.0,6.0,0.108967101,2.202150347,2.202150347,0.239913071,2.7773964275,,,,,,,,Zeno,True,False
20.0,6.0,0.075851396,2.26687962,2.26687962,0.171922662,3.036639514,,,,,,,,Zeno,True,False
20.0,6.0,0.045308317,2.323528904,2.323528904,0.105300241,3.2690083,,,,,,,,Zeno,True,False
20.0,6.0,0.019246765,2.373106881,2.373106881,0.045681636,3.4684114735,,,,,,,,Zeno,True,False
36.0,6.0,0.834668231,0.69875452,0.69875452,0.551562877,-3.2429260529999997,,,,,,,,Zeno,True,False
36.0,6.0,0.797208958,0.762320444,0.762320444,0.607115682,-2.8860650690000003,,,,,,,,Zeno,True,False
36.0,6.0,0.750020849,0.834952833,0.834952833,0.627012919,-2.4650737985,,,,,,,,Zeno,True,False
36.0,6.0,0.6948061,0.91794482,0.91794482,0.635599745,-1.993070876,,,,,,,,Zeno,True,False
36.0,6.0,0.630106778,1.012774043,1.012774043,0.63464379,-1.4658511234999998,,,,,,,,Zeno,True,False
36.0,6.0,0.554696469,1.12112884,1.12112884,0.618160649,-0.8796762790000003,,,,,,,,Zeno,True,False
36.0,6.0,0.477331967,1.229483579,1.229483579,0.584109056,-0.3084420885000001,,,,,,,,Zeno,True,False
36.0,6.0,0.397815101,1.337838385,1.337838385,0.529686432,0.2512615635000002,,,,,,,,Zeno,True,False
36.0,6.0,0.328171336,1.43266757,1.43266757,0.468974746,0.7266322580000002,,,,,,,,Zeno,True,False
36.0,6.0,0.265839821,1.515659588,1.515659588,0.402257138,1.1390302339999998,,,,,,,,Zeno,True,False
36.0,6.0,0.210338159,1.588291914,1.588291914,0.333683883,1.495059098,,,,,,,,Zeno,True,False
36.0,6.0,0.161910742,1.651857869,1.651857869,0.267374897,1.8020148295,,,,,,,,Zeno,True,False
36.0,6.0,0.119684011,1.707489044,1.707489044,0.204356491,2.066615039,,,,,,,,Zeno,True,False
36.0,6.0,0.081513209,1.756175996,1.756175996,0.143150227,2.2997887770000003,,,,,,,,Zeno,True,False
36.0,6.0,0.048309656,1.798785525,1.798785525,0.086889677,2.5012826855,,,,,,,,Zeno,True,False
48.0,6.0,1.006284493,0.482558495,0.482558495,0.489520265,-5.2725705325000005,,,,,,,,Zeno,False,True
48.0,6.0,0.856816541,0.649271777,0.649271777,0.528395425,-3.2404629525,,,,,,,,Zeno,True,False
48.0,6.0,0.817982355,0.706797539,0.706797539,0.577063884,-2.8926767635,,,,,,,,Zeno,True,False
48.0,6.0,0.770129398,0.772528192,0.772528192,0.596877236,-2.486715519,,,,,,,,Zeno,True,False
48.0,6.0,0.713615995,0.847634069,0.847634069,0.603093021,-2.0301894945,,,,,,,,Zeno,True,False
48.0,6.0,0.648169785,0.933452382,0.933452382,0.604887364,-1.5256477379999998,,,,,,,,Zeno,True,False
48.0,6.0,0.570687016,1.031510966,1.031510966,0.586297167,-0.960589342,,,,,,,,Zeno,True,False
48.0,6.0,0.491748569,1.129569637,1.129569637,0.553947587,-0.4133366395,,,,,,,,Zeno,True,False
48.0,6.0,0.409882964,1.227628252,1.227628252,0.501531828,0.125882362,,,,,,,,Zeno,True,False
48.0,6.0,0.337509883,1.313446548,1.313446548,0.442440318,0.5843231649999998,,,,,,,,Zeno,True,False
48.0,6.0,0.273067605,1.38855244,1.38855244,0.378797378,0.979664473,,,,,,,,Zeno,True,False
48.0,6.0,0.21718871,1.454283114,1.454283114,0.315762762,1.3157463540000005,,,,,,,,Zeno,True,False
48.0,6.0,0.165665442,1.511808821,1.511808821,0.250259054,1.6145866405000002,,,,,,,,Zeno,True,False
48.0,6.0,0.122441015,1.562153786,1.562153786,0.191155741,1.8651735200000004,,,,,,,,Zeno,True,False
48.0,6.0,0.08416073,1.60621439,1.60621439,0.135134082,2.083671164,,,,,,,,Zeno,True,False
48.0,6.0,0.04930548,1.644775027,1.644775027,0.081066544,2.2771945765,,,,,,,,Zeno,True,False
8.0,6.0,1.04854762,1.071552798,1.071552798,5.509269722,-7.026246486,,,,,,,,Amagat,False,True
8.0,6.0,1.007413617,1.663993622,1.663993622,9.674038729,-4.663168961999999,,,,,,,,Amagat,True,False
8.0,6.0,0.960986726,2.387602508,2.387602508,10.916882779,-2.7651321060000003,,,,,,,,Amagat,True,False
8.0,6.0,0.911045262,3.27142048,3.27142048,11.942848531,-0.6472001199999999,,,,,,,,Amagat,True,False
8.0,6.0,0.855839722,4.350918165,4.350918165,12.711464529,1.752468620500001,,,,,,,,Amagat,True,False
8.0,6.0,0.794824318,5.669419548,5.669419548,13.205666473,4.495306019999999,,,,,,,,Amagat,True,False
8.0,6.0,0.726674571,7.279840786,7.279840786,13.380446339,7.660849745,,,,,,,,Amagat,True,False
8.0,6.0,0.64947768,9.246813802,9.246813802,13.135649164,11.335558737,,,,,,,,Amagat,True,False
8.0,6.0,0.565090304,11.649280186,11.649280186,12.523849888,15.620732055,,,,,,,,Amagat,True,False
8.0,6.0,0.468780357,14.583658603,14.583658603,11.310333935,20.643990858499997,,,,,,,,Amagat,True,False
8.0,6.0,0.37798535,17.51803806,17.51803806,9.7418883,25.498255401,,,,,,,,Amagat,True,False
8.0,6.0,0.291461604,20.452416348,20.452416348,7.927103902,30.224459717,,,,,,,,Amagat,True,False
8.0,6.0,0.224557121,22.854883246,22.854883246,6.349830803,34.01899583,,,,,,,,Amagat,True,False
8.0,6.0,0.170808712,24.821856179,24.821856179,4.965953341,37.082058953499995,,,,,,,,Amagat,True,False
8.0,6.0,0.12891301,26.432277457,26.432277457,3.83095614,39.5641480895,,,,,,,,Amagat,True,False
8.0,6.0,0.097066311,27.750778126,27.750778126,2.938329314,41.580901056,,,,,,,,Amagat,True,False
8.0,6.0,0.068176831,28.830276356,28.830276356,2.088044421,43.223713493,,,,,,,,Amagat,True,False
8.0,6.0,0.045299679,29.714094495,29.714094495,1.400674131,44.5617513835,,,,,,,,Amagat,True,False
8.0,6.0,0.023871055,30.437703417,30.437703417,0.741836712,45.6532402675,,,,,,,,Amagat,True,False
8.0,6.0,0.011587442,31.03014402,31.03014402,0.363181672,46.54454042100001,,,,,,,,Amagat,True,False
10.0,6.0,1.066222558,0.888134941,0.888134941,6.616966044,-6.4258046225,,,,,,,,Amagat,False,True
10.0,6.0,1.002505462,1.397892368,1.397892368,9.840807455,-4.251916608,,,,,,,,Amagat,True,False
10.0,6.0,0.956313604,2.020511838,2.020511838,11.041938835,-2.568760241,,,,,,,,Amagat,True,False
10.0,6.0,0.905872268,2.780980803,2.780980803,11.920502386,-0.7084796375000009,,,,,,,,Amagat,True,False
10.0,6.0,0.849814854,3.70981966,3.70981966,12.491299234,1.3886473039999991,,,,,,,,Amagat,True,False
10.0,6.0,0.788664949,4.844306013,4.844306013,12.794572168,3.7732754374999993,,,,,,,,Amagat,True,False
10.0,6.0,0.72077734,6.229970711,6.229970711,12.791426388,6.5184609065,,,,,,,,Amagat,True,False
10.0,6.0,0.644348897,7.922425702,7.922425702,12.385769328,9.693422368,,,,,,,,Amagat,True,False
10.0,6.0,0.55949537,9.989594265,9.989594265,11.582499269,13.388422219499995,,,,,,,,Amagat,True,False
10.0,6.0,0.462762235,12.514440271,12.514440271,10.244757552,17.7167985695,,,,,,,,Amagat,True,False
10.0,6.0,0.374061919,15.039286346,15.039286346,8.737965769,21.894426733000003,,,,,,,,Amagat,True,False
10.0,6.0,0.289299254,17.564132272,17.564132272,7.047908215,25.960963528,,,,,,,,Amagat,True,False
10.0,6.0,0.222258037,19.631301007,19.631301007,5.566835447,29.2225412575,,,,,,,,Amagat,True,False
10.0,6.0,0.170639159,21.323756168,21.323756168,4.369092765,31.857219192999995,,,,,,,,Amagat,True,False
10.0,6.0,0.127927597,22.709420237,22.709420237,3.324616234,33.9935401195,,,,,,,,Amagat,True,False
10.0,6.0,0.094385806,23.843907416,23.843907416,2.482199581,35.727644948,,,,,,,,Amagat,True,False
10.0,6.0,0.066761965,24.772746225,24.772746225,1.771188721,37.1398262885,,,,,,,,Amagat,True,False
10.0,6.0,0.044764794,25.533215723,25.533215723,1.196454608,38.292125488500005,,,,,,,,Amagat,True,False
