lr,la,rho*,T*,self_diffusivity,self_diffusivity_std,alpha,author_id
12.0,6.0,0.60026,1.4868999999999999,0.24917000000000003,0.0032349741100000003,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.70023,1.4907,0.17462000000000003,0.0017069628860000002,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8003500000000001,1.4948000000000001,0.11698000000000001,0.00187787994,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.9029200000000001,1.4977,0.071334,0.002241171612,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.9970300000000001,1.5007000000000001,0.040871,0.0005569082459999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.60026,1.7527,0.27894,0.001471715334,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.70023,1.7524000000000002,0.19915000000000002,0.0011429019350000002,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8003500000000001,1.7525,0.13647,0.000871647537,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.87999,1.7524000000000002,0.096678,0.000571221963,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.20134000000000002,1.9955,1.2552,0.01203937632,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.29952,1.9928,0.8107900000000001,0.007054683790000001,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.39959000000000006,1.9928,0.5875800000000001,0.005397039816,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.5059600000000001,1.9933,0.42192,0.003320636976,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.60026,1.9948000000000001,0.3148,0.0028162008,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.70023,1.9956,0.22793000000000002,0.0021109736949999998,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8003500000000001,1.9967000000000001,0.15906,0.00236713092,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.9029200000000001,1.9989,0.10391,0.0008162753959999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.9970300000000001,2.0003,0.06511,0.00066633574,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,1.0995,2.0032,0.034499,0.0002504454905,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.60026,2.5015,0.37247,0.002102555903,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.70023,2.5024,0.27537,0.001527064335,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8003500000000001,2.5028,0.19782000000000002,0.001159462584,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.87999,2.503,0.14693,0.0009469197709999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.9029200000000001,2.5019,0.13490000000000002,0.0006945596300000001,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.9970300000000001,2.5029,0.08935699999999999,0.0004352311398999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,1.0995,2.5033,0.051993,0.0002561643117,0.8888888888888888,Lautenschlaeger 2019
