lr,la,rho*,T*,shear_viscosity,shear_viscosity_std,alpha,author_id
12.0,6.0,0.82972,0.8022800000000001,2.7849,0.0336638712,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8501200000000001,0.8026200000000001,3.2289,0.036906327,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8706600000000001,0.80261,3.7832,0.0528815696,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8896100000000001,0.803,4.4801,0.048810689500000004,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.9029200000000001,0.8034500000000001,5.0191,0.08666479969999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.70016,0.85143,1.2599,0.0270072164,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7202700000000001,0.85138,1.3876,0.0304952852,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.74045,0.85155,1.5514000000000001,0.0300304498,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.76034,0.85167,1.7273,0.048412764399999995,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.77988,0.85177,1.9586000000000001,0.0249662742,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8003500000000001,0.85204,2.231,0.05490937199999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8201700000000001,0.8520500000000001,2.5381,0.0433126765,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8396300000000001,0.8523100000000001,2.9138,0.05611978800000001,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8600300000000001,0.8523400000000001,3.372,0.058561524,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.87999,0.85274,3.9796,0.0511497988,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.6603,0.90119,1.0256,0.0246061952,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.67998,0.9010300000000001,1.1442,0.0308956884,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.70016,0.9012,1.2546,0.03640096439999999,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7197600000000001,0.9011100000000001,1.3822,0.028060042200000003,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7399500000000001,0.9015900000000001,1.5253,0.038602292399999995,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7596900000000001,0.90122,1.7178,0.0251331318,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7801600000000001,0.9016200000000001,1.9471,0.0362141129,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.7999100000000001,0.90197,2.1702,0.0423796656,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.81988,0.9020800000000001,2.4828,0.0387242316,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.84035,0.9021100000000001,2.8524000000000003,0.039035094,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8598100000000001,0.9026600000000001,3.2503,0.046739314000000004,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.8800600000000001,0.9025900000000001,3.8040000000000003,0.046850064,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.9029200000000001,0.90297,4.5791,0.0480164426,0.8888888888888888,Lautenschlaeger 2019
12.0,6.0,0.9970300000000001,0.9053700000000001,11.532,0.105581226,0.8888888888888888,Lautenschlaeger 2019
