Repulsive_Exponent,Attractive_Exponent,Temperature,Density,Diffusion_Coefficient,Alpha,Temperature_Critical,Density_Critical
13,8,0.985045,0.620274,0.15498739,0.565377775132043,0.938138,0.310137
13,8,1.172672,0.062027,2.78290581,0.565377775132043,0.938138,0.310137
13,8,1.172672,0.310137,0.53004083,0.565377775132043,0.938138,0.310137
13,8,1.172672,0.620274,0.18120035,0.565377775132043,0.938138,0.310137
13,8,1.407207,0.062027,3.2825673,0.565377775132043,0.938138,0.310137
13,8,1.407207,0.310137,0.61919495,0.565377775132043,0.938138,0.310137
13,8,1.407207,0.620274,0.21406042,0.565377775132043,0.938138,0.310137
14,6,1.264351,0.063172,2.89943016,0.800933916503855,1.204144,0.31586
14,6,1.264351,0.31586,0.55773914,0.800933916503855,1.204144,0.31586
14,6,1.264351,0.63172,0.18826383,0.800933916503855,1.204144,0.31586
14,6,1.50518,0.063172,3.37970309,0.800933916503855,1.204144,0.31586
14,6,1.50518,0.31586,0.62923652,0.800933916503855,1.204144,0.31586
14,6,1.50518,0.63172,0.22366521,0.800933916503855,1.204144,0.31586
14,6,1.806216,0.063172,3.97267004,0.800933916503855,1.204144,0.31586
14,6,1.806216,0.31586,0.74216438,0.800933916503855,1.204144,0.31586
14,6,1.806216,0.63172,0.25542692,0.800933916503855,1.204144,0.31586
14,7,1.066607,0.061826,2.53266197,0.636363636363636,1.015816,0.309131
14,7,1.066607,0.309131,0.4954397,0.636363636363636,1.015816,0.309131
14,7,1.066607,0.618262,0.16972329,0.636363636363636,1.015816,0.309131
14,7,1.26977,0.061826,2.97496909,0.636363636363636,1.015816,0.309131
14,7,1.26977,0.309131,0.5763995,0.636363636363636,1.015816,0.309131
14,7,1.26977,0.618262,0.1985383,0.636363636363636,1.015816,0.309131
14,7,1.523724,0.061826,3.56924093,0.636363636363636,1.015816,0.309131
14,7,1.523724,0.309131,0.66080264,0.636363636363636,1.015816,0.309131
14,7,1.523724,0.618262,0.23149515,0.636363636363636,1.015816,0.309131
14,8,0.94973,0.062777,2.29761006,0.536804413384483,0.904505,0.313885
14,8,0.94973,0.313885,0.44625948,0.536804413384483,0.904505,0.313885
14,8,0.94973,0.62777,0.14564006,0.536804413384483,0.904505,0.313885
14,8,1.130631,0.062777,2.67847681,0.536804413384483,0.904505,0.313885
14,8,1.130631,0.313885,0.52895578,0.536804413384483,0.904505,0.313885
14,8,1.130631,0.62777,0.17248276,0.536804413384483,0.904505,0.313885
14,8,1.356758,0.062777,3.15342277,0.536804413384483,0.904505,0.313885
14,8,1.356758,0.313885,0.59585773,0.536804413384483,0.904505,0.313885
14,8,1.356758,0.62777,0.2003554,0.536804413384483,0.904505,0.313885
15,6,1.221531,0.063306,2.77613141,0.767506562216747,1.163363,0.316528
15,6,1.221531,0.316528,0.53516477,0.767506562216747,1.163363,0.316528
15,6,1.221531,0.633056,0.17683609,0.767506562216747,1.163363,0.316528
15,6,1.454204,0.063306,3.2439478,0.767506562216747,1.163363,0.316528
15,6,1.454204,0.316528,0.61311111,0.767506562216747,1.163363,0.316528
15,6,1.454204,0.633056,0.20665163,0.767506562216747,1.163363,0.316528
15,6,1.745044,0.063306,3.76410137,0.767506562216747,1.163363,0.316528
15,6,1.745044,0.316528,0.71439092,0.767506562216747,1.163363,0.316528
15,6,1.745044,0.633056,0.24104201,0.767506562216747,1.163363,0.316528
15,7,1.032342,0.062444,2.38934269,0.608792212383714,0.983183,0.312221
15,7,1.032342,0.312221,0.4736978,0.608792212383714,0.983183,0.312221
15,7,1.032342,0.624442,0.15810103,0.608792212383714,0.983183,0.312221
15,7,1.228979,0.062444,2.94055423,0.608792212383714,0.983183,0.312221
15,7,1.228979,0.312221,0.54958894,0.608792212383714,0.983183,0.312221
15,7,1.228979,0.624442,0.18625635,0.608792212383714,0.983183,0.312221
15,7,1.474774,0.062444,3.40361367,0.608792212383714,0.983183,0.312221
15,7,1.474774,0.312221,0.62386231,0.608792212383714,0.983183,0.312221
15,7,1.474774,0.624442,0.21576217,0.608792212383714,0.983183,0.312221
15,8,0.919775,0.063363,2.23306547,0.512792261259496,0.875976,0.316816
15,8,0.919775,0.316816,0.42993706,0.512792261259496,0.875976,0.316816
15,8,0.919775,0.633632,0.1402459,0.512792261259496,0.875976,0.316816
15,8,1.09497,0.063363,2.57236592,0.512792261259496,0.875976,0.316816
15,8,1.09497,0.316816,0.49553421,0.512792261259496,0.875976,0.316816
15,8,1.09497,0.633632,0.16272507,0.512792261259496,0.875976,0.316816
15,8,1.313964,0.063363,3.07394559,0.512792261259496,0.875976,0.316816
15,8,1.313964,0.316816,0.57459166,0.512792261259496,0.875976,0.316816
15,8,1.313964,0.633632,0.19179102,0.512792261259496,0.875976,0.316816
15,9,0.843153,0.064513,1.9863591,0.448261961366599,0.803003,0.322564
15,9,0.843153,0.322564,0.37798128,0.448261961366599,0.803003,0.322564
15,9,0.843153,0.645128,0.11798253,0.448261961366599,0.803003,0.322564
15,9,1.003754,0.064513,2.31092607,0.448261961366599,0.803003,0.322564
15,9,1.003754,0.322564,0.45075521,0.448261961366599,0.803003,0.322564
15,9,1.003754,0.645128,0.13544481,0.448261961366599,0.803003,0.322564
15,9,1.204504,0.064513,2.69061637,0.448261961366599,0.803003,0.322564
15,9,1.204504,0.322564,0.52266542,0.448261961366599,0.803003,0.322564
15,9,1.204504,0.645128,0.16338655,0.448261961366599,0.803003,0.322564
15,10,0.787868,0.065743,1.911016,0.401785714285714,0.75035,0.328714
15,10,0.787868,0.328714,0.3612038,0.401785714285714,0.75035,0.328714
15,10,0.787868,0.657428,0.1103268,0.401785714285714,0.75035,0.328714
15,10,0.937938,0.065743,2.19550848,0.401785714285714,0.75035,0.328714
15,10,0.937938,0.328714,0.42435704,0.401785714285714,0.75035,0.328714
15,10,0.937938,0.657428,0.12913905,0.401785714285714,0.75035,0.328714
15,10,1.125525,0.065743,2.62740353,0.401785714285714,0.75035,0.328714
15,10,1.125525,0.328714,0.49135415,0.401785714285714,0.75035,0.328714
15,10,1.125525,0.657428,0.152961,0.401785714285714,0.75035,0.328714
15,11,0.746247,0.067031,1.77574745,0.366641063716283,0.710711,0.335157
15,11,0.746247,0.335157,0.34012722,0.366641063716283,0.710711,0.335157
15,11,0.746247,0.670314,0.09951341,0.366641063716283,0.710711,0.335157
15,11,0.888389,0.067031,2.12822186,0.366641063716283,0.710711,0.335157
15,11,0.888389,0.335157,0.39682509,0.366641063716283,0.710711,0.335157
15,11,0.888389,0.670314,0.11705109,0.366641063716283,0.710711,0.335157
15,11,1.066066,0.067031,2.47681414,0.366641063716283,0.710711,0.335157
15,11,1.066066,0.335157,0.46784914,0.366641063716283,0.710711,0.335157
15,11,1.066066,0.670314,0.13706399,0.366641063716283,0.710711,0.335157
16,6,1.184324,0.063372,2.70250337,0.738986687737771,1.127928,0.316861
16,6,1.184324,0.316861,0.52568903,0.738986687737771,1.127928,0.316861
16,6,1.184324,0.633722,0.17598693,0.738986687737771,1.127928,0.316861
16,6,1.40991,0.063372,3.18013416,0.738986687737771,1.127928,0.316861
16,6,1.40991,0.316861,0.61067211,0.738986687737771,1.127928,0.316861
16,6,1.40991,0.633722,0.20540998,0.738986687737771,1.127928,0.316861
16,6,1.691892,0.063372,3.68357183,0.738986687737771,1.127928,0.316861
16,6,1.691892,0.316861,0.68664532,0.738986687737771,1.127928,0.316861
16,6,1.691892,0.633722,0.22908068,0.738986687737771,1.127928,0.316861
16,7,1.002913,0.062982,2.40065127,0.585269547592979,0.955155,0.31491
16,7,1.002913,0.31491,0.45644836,0.585269547592979,0.955155,0.31491
16,7,1.002913,0.62982,0.15299306,0.585269547592979,0.955155,0.31491
16,7,1.193944,0.062982,2.78326059,0.585269547592979,0.955155,0.31491
16,7,1.193944,0.31491,0.53571472,0.585269547592979,0.955155,0.31491
16,7,1.193944,0.62982,0.18001819,0.585269547592979,0.955155,0.31491
16,7,1.432732,0.062982,3.30633431,0.585269547592979,0.955155,0.31491
16,7,1.432732,0.31491,0.62592876,0.585269547592979,0.955155,0.31491
16,7,1.432732,0.62982,0.20903558,0.585269547592979,0.955155,0.31491
16,8,0.893604,0.064035,2.09299376,0.492307692307692,0.851051,0.320177
16,8,0.893604,0.320177,0.41131105,0.492307692307692,0.851051,0.320177
16,8,0.893604,0.640354,0.13090162,0.492307692307692,0.851051,0.320177
16,8,1.063814,0.064035,2.46858559,0.492307692307692,0.851051,0.320177
16,8,1.063814,0.320177,0.47822823,0.492307692307692,0.851051,0.320177
16,8,1.063814,0.640354,0.15380577,0.492307692307692,0.851051,0.320177
16,8,1.276576,0.064035,2.94073509,0.492307692307692,0.851051,0.320177
16,8,1.276576,0.320177,0.55375928,0.492307692307692,0.851051,0.320177
16,8,1.276576,0.640354,0.17749995,0.492307692307692,0.851051,0.320177
16,9,0.81982,0.06526,1.93980001,0.429829696300788,0.780781,0.326299
16,9,0.81982,0.326299,0.36676837,0.429829696300788,0.780781,0.326299
16,9,0.81982,0.652598,0.11539124,0.429829696300788,0.780781,0.326299
16,9,0.975976,0.06526,2.2797618,0.429829696300788,0.780781,0.326299
16,9,0.975976,0.326299,0.44385687,0.429829696300788,0.780781,0.326299
16,9,0.975976,0.652598,0.13606069,0.429829696300788,0.780781,0.326299
16,9,1.171171,0.06526,2.67294522,0.429829696300788,0.780781,0.326299
16,9,1.171171,0.326299,0.50903368,0.429829696300788,0.780781,0.326299
16,9,1.171171,0.652598,0.16120988,0.429829696300788,0.780781,0.326299
16,10,0.766532,0.066609,1.84040101,0.384838542724602,0.73003,0.333045
16,10,0.766532,0.333045,0.3414126,0.384838542724602,0.73003,0.333045
16,10,0.766532,0.66609,0.1020684,0.384838542724602,0.73003,0.333045
16,10,0.912538,0.066609,2.14620051,0.384838542724602,0.73003,0.333045
16,10,0.912538,0.333045,0.40952558,0.384838542724602,0.73003,0.333045
16,10,0.912538,0.66609,0.12148546,0.384838542724602,0.73003,0.333045
16,10,1.095045,0.066609,2.54120678,0.384838542724602,0.73003,0.333045
16,10,1.095045,0.333045,0.4818819,0.384838542724602,0.73003,0.333045
16,10,1.095045,0.66609,0.14158976,0.384838542724602,0.73003,0.333045
16,11,0.726487,0.06801,1.7298759,0.350821901251695,0.691892,0.340048
16,11,0.726487,0.340048,0.32187767,0.350821901251695,0.691892,0.340048
16,11,0.726487,0.680096,0.09231018,0.350821901251695,0.691892,0.340048
16,11,0.864865,0.06801,2.02731215,0.350821901251695,0.691892,0.340048
16,11,0.864865,0.340048,0.38312309,0.350821901251695,0.691892,0.340048
16,11,0.864865,0.680096,0.10873542,0.350821901251695,0.691892,0.340048
16,11,1.037838,0.06801,2.40458087,0.350821901251695,0.691892,0.340048
16,11,1.037838,0.340048,0.44503636,0.350821901251695,0.691892,0.340048
16,11,1.037838,0.680096,0.12932102,0.350821901251695,0.691892,0.340048
17,6,1.152099,0.063417,2.63485142,0.714344082599194,1.097237,0.317084
17,6,1.152099,0.317084,0.50221539,0.714344082599194,1.097237,0.317084
17,6,1.152099,0.634168,0.17272253,0.714344082599194,1.097237,0.317084
17,6,1.371546,0.063417,3.06663729,0.714344082599194,1.097237,0.317084
17,6,1.371546,0.317084,0.5960104,0.714344082599194,1.097237,0.317084
17,6,1.371546,0.634168,0.19654869,0.714344082599194,1.097237,0.317084
17,6,1.645856,0.063417,3.65113143,0.714344082599194,1.097237,0.317084
17,6,1.645856,0.317084,0.67597898,0.714344082599194,1.097237,0.317084
17,6,1.645856,0.634168,0.22820362,0.714344082599194,1.097237,0.317084
17,7,0.977478,0.063321,2.3383406,0.564945444910454,0.930931,0.316605
17,7,0.977478,0.316605,0.44685084,0.564945444910454,0.930931,0.316605
17,7,0.977478,0.63321,0.14802731,0.564945444910454,0.930931,0.316605
17,7,1.163664,0.063321,2.6948083,0.564945444910454,0.930931,0.316605
17,7,1.163664,0.316605,0.51087595,0.564945444910454,0.930931,0.316605
17,7,1.163664,0.63321,0.17230224,0.564945444910454,0.930931,0.316605
17,7,1.396396,0.063321,3.21115994,0.564945444910454,0.930931,0.316605
